time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,q_ad,T,S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2
1,80.42370298,12.33107749,4.034667792,0.093214182,0.147978154,0.351503828,1.686088227,0,0,0,0.02057506,-48.45517891,0,522.1659485,80.06182925,26.19583601,0,0,0,0,0,0,0,-309.548967,0,0,130.91,316.2,0,0,0,0,0,0,0,0,0,0,0,0
2,80.43036,12.24265658,3.844761378,0.102776183,0.165713852,0.390013709,1.654431843,0,0,0,0.019537229,-49.02264055,0,522.276665,79.49801356,24.96605946,0,0,0,0,0,0,0,-313.2952069,0,0,161.56,316.15,0,0,0,0,0,0,0,0,0,0,0,0
3,84.84119767,13.20294584,4.497026999,0.10862467,0.176597313,0.395715987,1.802878061,0,0,0,0.022028271,-52.69346154,0,548.8618288,85.41361037,29.0925462,0,0,0,0,0,0,0,-335.361203,0,0,113.53,316,0,0,0,0,0,0,0,0,0,0,0,0
4,84.95486847,13.25743808,4.593512871,0.103451257,0.166893201,0.374649188,1.817556067,0,0,0,0.022546155,-52.62151156,0,550.4108087,85.89310236,29.76073272,0,0,0,0,0,0,0,-335.3689074,0,0,108.36,316,0,0,0,0,0,0,0,0,0,0,0,0
5,80.81565694,12.33536437,3.930692919,0.102651951,0.165404215,0.387206225,1.671924032,0,0,0,0.01991252,-49.3239533,0,525.0884274,80.14730469,25.53912747,0,0,0,0,0,0,0,-315.3834926,0,0,159.62,315.8,0,0,0,0,0,0,0,0,0,0,0,0
6,77.56501518,11.61827765,3.431157335,0.094753529,0.151621121,0.37333808,1.546889163,0,0,0,0.017917226,-46.60596455,0,504.1596868,75.5168707,22.30195151,0,0,0,0,0,0,0,-298.260694,0,0,174.46,315.55,0,0,0,0,0,0,0,0,0,0,0,0
7,80.58843332,12.27390864,3.87779014,0.103560688,0.167439106,0.392367281,1.658859704,0,0,0,0.01966532,-49.21255531,0,523.5475048,79.73817059,25.1922921,0,0,0,0,0,0,0,-314.6539473,0,0,151.04,315.65,0,0,0,0,0,0,0,0,0,0,0,0
8,80.50756322,12.25858452,3.853398524,0.102808182,0.165855061,0.39015007,1.655937838,0,0,0,0.019563284,-49.08091914,0,522.5533105,79.56723151,25.01139117,0,0,0,0,0,0,0,-313.5335634,0,0,163.16,315.45,0,0,0,0,0,0,0,0,0,0,0,0
9,81.05197779,12.39642509,3.997030038,0.09805612,0.157057766,0.369928734,1.677740189,0,0,0,0.020221204,-49.41539171,0,526.3862622,80.50769452,25.95842519,0,0,0,0,0,0,0,-315.8269266,0,0,150.46,315.3,0,0,0,0,0,0,0,0,0,0,0,0
10,83.9539298,13.07766204,4.605837476,0.102268624,0.1633302,0.365571666,1.812808214,0,0,0,0.02286918,-51.88277105,0,548.9855728,85.51651844,30.11816518,0,0,0,0,0,0,0,-333.6884502,0,0,131.83,315.45,0,0,0,0,0,0,0,0,0,0,0,0
