time,D,SCODin,VFAin,OLR,pH,SCODout,VFAout,Biogas
1,0.333,0,0.0,0.0,7.8,0.29160309800000006,93.85144950899725,-0.0
2,0.333,0,0.0,0.0,7.8,8.9296179420993,101.39231819157152,1188.4296356602774
3,0.333,0,0.0,0.0,7.8,17.274362472194742,132.32577459924678,1871.7831288502011
4,0.333,0,0.0,0.0,7.8,22.89850096515008,162.2811709003642,1936.0489769080377
5,0.333,0,0.0,0.0,7.8,27.843777430261333,197.76968127149604,2291.889604890924
6,0.333,0,0.0,0.0,7.8,35.26741699222587,245.65985261571956,2851.797383826999
7,0.333,0,0.0,0.0,7.8,42.65683614102693,297.6545776150529,1917.2317645543706
8,0.333,0,0.0,0.0,7.8,48.475261113757526,351.8414641897888,537.6031591230114
9,0.333,0,0.0,0.0,7.8,54.64560474521205,412.9668816849511,184.85705953434586
10,0.333,0,0.0,0.0,7.8,59.63826461983009,477.9782293526213,72.27290714644262
11,0.333,0,0.0,0.0,7.8,63.462654068897756,545.2623417155221,31.27560515719732
12,0.333,0,0.0,0.0,7.8,66.16018031138894,614.0413633572865,14.691188213540118
13,0.333,0,0.0,0.0,7.8,70.94958552298019,691.4239281990166,6.967722356597626
14,0.333,0,0.0,0.0,7.8,74.4157396690104,770.8845490498479,3.5347654125074666
15,0.333,0,0.0,0.0,7.8,77.70621219022706,853.9545041505351,1.8593403064672387
16,0.333,0,0.0,0.0,7.8,81.60561225220307,942.4501307924221,1.0010458461418663
17,0.333,0,0.0,0.0,7.8,86.09856505578283,1037.4054051312673,0.5491807275342405
18,0.333,0,0.0,0.0,7.8,90.22058298366325,1136.5706244212506,0.310553757518946
19,0.333,0,0.0,0.0,7.8,92.53295504841334,1234.4181501313428,0.18409601742853146
20,0.333,0,0.0,0.0,7.8,94.89079480069027,1334.7914288909253,0.1123320497403399
21,0.333,0,0.0,0.0,7.8,97.07925708675313,1437.186753001279,0.070854780590076
22,0.333,0,0.0,0.0,7.8,100.54922332991502,1546.4866353884452,0.04560713396776731
23,0.333,0,0.0,0.0,7.8,103.74968909008219,1658.4293252969205,0.030293481789580922
24,0.333,0,0.0,0.0,7.8,108.94064911027577,1779.485583821835,0.02066502468277489
25,0.333,0,0.0,0.0,7.8,112.1849424576523,1897.7982840431625,0.014627643302063243
26,0.333,0,0.0,0.0,7.8,113.68150379518896,2011.4148662427785,0.010788714295192407
27,0.333,0,0.0,0.0,7.8,119.64275975587253,2139.617017919312,0.008301428366121239
28,0.333,0,0.0,0.0,7.8,125.96880952344594,2271.8009915986668,0.0066308371009094055
29,0.333,0,0.0,0.0,7.8,127.79495976873903,2392.805402981934,0.005452485892337612
30,0.333,0,0.0,0.0,7.8,132.54939416458816,2525.194576814676,0.004632206453454103
31,0.333,0,0.0,0.0,7.8,136.4571669835677,2657.477001448104,0.004032036753727561
32,0.333,0,0.0,0.0,7.8,136.95693828083736,2778.7546925513434,0.0035658833258698243
33,0.333,0,0.0,0.0,7.8,137.35242618182076,2901.500347711244,0.0032032643066096135
34,0.333,0,0.0,0.0,7.8,143.10565107042797,3050.4031684596403,0.0029387865122831045
35,0.333,0,0.0,0.0,7.8,145.62085884306597,3189.2457651335585,0.0027176037452023736
36,0.333,0,0.0,0.0,7.8,152.60938583131525,3352.75813790591,0.0025530249250294724
37,0.333,0,0.0,0.0,7.8,159.64839713613264,3523.1443116162495,0.002421541494569411
38,0.333,0,0.0,0.0,7.8,166.42531087196707,3699.628418083748,0.002314419826287439
39,0.333,0,0.0,0.0,7.8,166.57999676010556,3848.8506971252623,0.002204199846967357
40,0.333,0,0.0,0.0,7.8,166.53143558407044,4001.7041046524178,0.0021005973433178998
41,0.333,0,0.0,0.0,7.8,173.1656368551934,4197.348495190266,0.0020200876515105177
42,0.333,0,0.0,0.0,7.8,177.25396794311413,4386.7677713362245,0.0019399514738390944
43,0.333,0,0.0,0.0,7.8,182.71586853799792,4592.48787619183,0.0018671771132545729
44,0.333,0,0.0,0.0,7.8,182.12446291190278,4772.190970243612,0.0017818017691975782
45,0.333,0,0.0,0.0,7.8,186.78121091157874,4987.59846011503,0.0017056807080013598
46,0.333,0,0.0,0.0,7.8,185.52159579791714,5168.9893920928525,0.0016183623764360116
47,0.333,0,0.0,0.0,7.8,184.11943015291715,5353.210558663197,0.0015282898648313979
48,0.333,0,0.0,0.0,7.8,189.47010711975196,5592.016350391182,0.0014561634310085148
49,0.333,0,0.0,0.0,7.8,189.4124289113014,5798.296517304501,0.0013835296050457224
50,0.333,0,0.0,0.0,7.8,192.51201296029566,6034.584477374402,0.0013213226469571005
51,0.333,0,0.0,0.0,7.8,194.21146913710777,6268.993814811738,0.001264085208703213
52,0.333,0,0.0,0.0,7.8,198.17858475075906,6530.107408499574,0.0012162848975117969
53,0.333,0,0.0,0.0,7.8,196.70377505533443,6750.466835291472,0.001164550248579321
54,0.333,0,0.0,0.0,7.8,194.2710724904244,6968.8658138947785,0.001111404186035379
55,0.333,0,0.0,0.0,7.8,196.26760406956336,7234.977789432891,0.00106747548883028
56,0.333,0,0.0,0.0,7.8,193.51457743549946,7462.795753994485,0.0010216363386978094
57,0.333,0,0.0,0.0,7.8,197.46012050920754,7765.215580670669,0.0009878838308720135
58,0.333,0,0.0,0.0,7.8,200.15436586463682,8067.360425259222,0.000959317889109172
59,0.333,0,0.0,0.0,7.8,201.20381125494856,8363.312079437987,0.0009319538311390056
60,0.333,0,0.0,0.0,7.8,199.92882951375276,8642.700878842255,0.0009033559725707286
61,0.333,0,0.0,0.0,7.8,196.23875452902132,8901.548498653157,0.0008727045498324976
62,0.333,0,0.0,0.0,7.8,192.48810211749833,9164.87047555898,0.0008436410966234687
63,0.333,0,0.0,0.0,7.8,194.37005209353458,9506.451851002252,0.0008258678974048518
64,0.333,0,0.0,0.0,7.8,194.85473649904043,9844.129006908297,0.0008156097878637838
65,0.333,0,0.0,0.0,7.8,195.7167130411861,10192.421349460008,0.0008179502427788047
66,0.333,0,0.0,0.0,7.8,196.75361873318963,10537.392680104354,0.0008500789277801806
67,0.333,0,0.0,0.0,7.8,195.0871214393927,10807.326600851104,0.0009347444106693878
68,0.333,0,0.0,0.0,7.8,193.98416558983175,11064.786689288938,0.0010327896586612459
69,0.333,0,0.0,0.0,7.8,198.1443025761787,11414.5449196856,0.001122785644911883
70,0.333,0,0.0,0.0,7.8,203.7806063488389,11797.360458321691,0.001219164189152825
71,0.333,0,0.0,0.0,7.8,204.88495988331675,12124.179796887158,0.0013426577610453014
72,0.333,0,0.0,0.0,7.8,205.72222682253192,12447.188662957162,0.0014707504657541347
73,0.333,0,0.0,0.0,7.8,211.1133121198956,12845.66150523433,0.0015867499749762115
74,0.333,0,0.0,0.0,7.8,210.85781353505197,13143.980255432314,0.0017469905671289173
75,0.333,0,0.0,0.0,7.8,210.65788548338722,13440.293438370427,0.0019104875304187313
76,0.333,0,0.0,0.0,7.8,216.56534289225144,13864.399811224148,0.002053937960089741
77,0.333,0,0.0,0.0,7.8,222.323354641019,14299.763404570931,0.0022225299236424433
78,0.333,0,0.0,0.0,7.8,228.46105502831608,14758.61515202647,0.0023967539006671565
79,0.333,0,0.0,0.0,7.8,233.68133474343577,15215.937967441301,0.0025871259187926587
80,0.333,0,0.0,0.0,7.8,239.06569716092767,15689.950147668018,0.0027829538614462354
81,0.333,0,0.0,0.0,7.8,238.6804926757089,16038.43808080629,0.003030388323798899
82,0.333,0,0.0,0.0,7.8,238.55769230929164,16388.81777476372,0.0032759078115509304
83,0.333,0,0.0,0.0,7.8,244.91918512034403,16897.15177866527,0.003489437158576472
84,0.333,0,0.0,0.0,7.8,250.87724707460757,17413.794784711983,0.003746639152620582
85,0.333,0,0.0,0.0,7.8,256.5034160130162,17939.60131919517,0.004018012567607145
86,0.333,0,0.0,0.0,7.8,262.012288745892,18477.593676161967,0.0043022707725357484
