Date,time,Biogas (m3/day),Methane (m3/day)
01/09/2022,1,35616,16027.2
02/09/2022,2,35616,16027.2
03/09/2022,3,35616,16027.2
04/09/2022,4,35616,16027.2
05/09/2022,5,34728,15627.6
06/09/2022,6,34728,15627.6
07/09/2022,7,34728,15627.6
08/09/2022,8,34728,15627.6
09/09/2022,9,34728,15627.6
10/09/2022,10,34728,15627.6
11/09/2022,11,34728,15627.6
12/09/2022,12,34008,15303.6
13/09/2022,13,34008,15303.6
14/09/2022,14,34008,15303.6
15/09/2022,15,34008,15303.6
16/09/2022,16,34008,15303.6
17/09/2022,17,34008,15303.6
18/09/2022,18,34008,15303.6
19/09/2022,19,35136,15811.2
20/09/2022,20,35136,15811.2
21/09/2022,21,35136,15811.2
22/09/2022,22,35136,15811.2
23/09/2022,23,35136,15811.2
24/09/2022,24,35136,15811.2
25/09/2022,25,35136,15811.2
26/09/2022,26,35712,16070.4
27/09/2022,27,35712,16070.4
28/09/2022,28,35712,16070.4
29/09/2022,29,35712,16070.4
30/09/2022,30,35712,16070.4
01/10/2022,31,29448,13251.6
02/10/2022,32,29448,13251.6
03/10/2022,33,36096,16243.2
04/10/2022,34,36096,16243.2
05/10/2022,35,36096,16243.2
06/10/2022,36,36096,16243.2
07/10/2022,37,36096,16243.2
08/10/2022,38,36096,16243.2
09/10/2022,39,36096,16243.2
10/10/2022,40,37344,16804.8
11/10/2022,41,37344,16804.8
12/10/2022,42,37344,16804.8
13/10/2022,43,37344,16804.8
14/10/2022,44,37344,16804.8
15/10/2022,45,37344,16804.8
16/10/2022,46,37344,16804.8
17/10/2022,47,38832,17474.4
18/10/2022,48,38832,17474.4
19/10/2022,49,38832,17474.4
20/10/2022,50,38832,17474.4
21/10/2022,51,38832,17474.4
22/10/2022,52,38832,17474.4
23/10/2022,53,38832,17474.4
24/10/2022,54,39120,17604
25/10/2022,55,39120,17604
26/10/2022,56,39120,17604
27/10/2022,57,39120,17604
28/10/2022,58,39120,17604
29/10/2022,59,39120,17604
30/10/2022,60,39120,17604
31/10/2022,61,39120,17604
01/11/2022,62,38328,17247.6
02/11/2022,63,38328,17247.6
03/11/2022,64,38328,17247.6
04/11/2022,65,38328,17247.6
05/11/2022,66,38328,17247.6
06/11/2022,67,38328,17247.6
07/11/2022,68,36216,16297.2
08/11/2022,69,36216,16297.2
09/11/2022,70,36216,16297.2
10/11/2022,71,36216,16297.2
11/11/2022,72,36216,16297.2
12/11/2022,73,36216,16297.2
13/11/2022,74,36216,16297.2
14/11/2022,75,37608,16923.6
15/11/2022,76,37608,16923.6
16/11/2022,77,37608,16923.6
17/11/2022,78,37608,16923.6
18/11/2022,79,37608,16923.6
19/11/2022,80,37608,16923.6
20/11/2022,81,37608,16923.6
21/11/2022,82,38160,17172
22/11/2022,83,38160,17172
23/11/2022,84,38160,17172
24/11/2022,85,38160,17172
25/11/2022,86,38160,17172
26/11/2022,87,38160,17172
27/11/2022,88,38160,17172
28/11/2022,89,37440,16848
29/11/2022,90,37440,16848
30/11/2022,91,37440,16848
01/12/2022,92,38424,17290.8
02/12/2022,93,38424,17290.8
03/12/2022,94,38424,17290.8
04/12/2022,95,38424,17290.8
05/12/2022,96,37506,16877.7
06/12/2022,97,37506,16877.7
07/12/2022,98,37506,16877.7
08/12/2022,99,37506,16877.7
09/12/2022,100,37506,16877.7
10/12/2022,101,37506,16877.7
11/12/2022,102,37506,16877.7
12/12/2022,103,39408,17733.6
13/12/2022,104,39408,17733.6
14/12/2022,105,39408,17733.6
15/12/2022,106,39408,17733.6
16/12/2022,107,39408,17733.6
17/12/2022,108,39408,17733.6
18/12/2022,109,39408,17733.6
19/12/2022,110,39168,17625.6
20/12/2022,111,39168,17625.6
21/12/2022,112,39168,17625.6
22/12/2022,113,39168,17625.6
23/12/2022,114,39168,17625.6
24/12/2022,115,39168,17625.6
25/12/2022,116,39168,17625.6
26/12/2022,117,38472,17312.4
27/12/2022,118,38472,17312.4
28/12/2022,119,38472,17312.4
29/12/2022,120,38472,17312.4
30/12/2022,121,38472,17312.4
31/12/2022,122,38472,17312.4
01/01/2023,123,38904,17506.8
02/01/2023,124,38904,17506.8
03/01/2023,125,38904,17506.8
04/01/2023,126,38904,17506.8
05/01/2023,127,38904,17506.8
06/01/2023,128,38904,17506.8
07/01/2023,129,38904,17506.8
08/01/2023,130,38904,17506.8
09/01/2023,131,38784,17452.8
10/01/2023,132,38784,17452.8
11/01/2023,133,38784,17452.8
12/01/2023,134,38784,17452.8
13/01/2023,135,38784,17452.8
14/01/2023,136,38784,17452.8
15/01/2023,137,38784,17452.8
16/01/2023,138,37272,16772.4
17/01/2023,139,37272,16772.4
18/01/2023,140,37272,16772.4
19/01/2023,141,37272,16772.4
20/01/2023,142,37272,16772.4
21/01/2023,143,37272,16772.4
22/01/2023,144,37272,16772.4
23/01/2023,145,38592,17366.4
24/01/2023,146,38592,17366.4
25/01/2023,147,38592,17366.4
26/01/2023,148,38592,17366.4
27/01/2023,149,38592,17366.4
28/01/2023,150,38592,17366.4
29/01/2023,151,38592,17366.4
30/01/2023,152,39456,17755.2
31/01/2023,153,39456,17755.2
01/02/2023,154,39240,17658
02/02/2023,155,39240,17658
03/02/2023,156,39240,17658
04/02/2023,157,39240,17658
05/02/2023,158,39240,17658
06/02/2023,159,40584,18262.8
07/02/2023,160,40584,18262.8
08/02/2023,161,40584,18262.8
09/02/2023,162,40584,18262.8
10/02/2023,163,40584,18262.8
11/02/2023,164,40584,18262.8
12/02/2023,165,40584,18262.8
13/02/2023,166,37704,16966.8
14/02/2023,167,37704,16966.8
15/02/2023,168,37704,16966.8
16/02/2023,169,37704,16966.8
17/02/2023,170,37704,16966.8
18/02/2023,171,37704,16966.8
19/02/2023,172,37704,16966.8
20/02/2023,173,38016,17107.2
21/02/2023,174,38016,17107.2
22/02/2023,175,38016,17107.2
23/02/2023,176,38016,17107.2
24/02/2023,177,38016,17107.2
25/02/2023,178,38016,17107.2
26/02/2023,179,38016,17107.2
27/02/2023,180,39216,17647.2
28/02/2023,181,39216,17647.2
01/03/2023,182,39192,17636.4
02/03/2023,183,39192,17636.4
03/03/2023,184,39192,17636.4
04/03/2023,185,39192,17636.4
05/03/2023,186,39192,17636.4
06/03/2023,187,38712,17420.4
07/03/2023,188,38712,17420.4
08/03/2023,189,38712,17420.4
09/03/2023,190,38712,17420.4
10/03/2023,191,38712,17420.4
11/03/2023,192,38712,17420.4
12/03/2023,193,38712,17420.4
13/03/2023,194,38088,17139.6
14/03/2023,195,38088,17139.6
15/03/2023,196,38088,17139.6
16/03/2023,197,38088,17139.6
17/03/2023,198,38088,17139.6
18/03/2023,199,38088,17139.6
19/03/2023,200,38088,17139.6
20/03/2023,201,38256,17215.2
21/03/2023,202,38256,17215.2
22/03/2023,203,38256,17215.2
23/03/2023,204,38256,17215.2
24/03/2023,205,38256,17215.2
25/03/2023,206,38256,17215.2
26/03/2023,207,38256,17215.2
27/03/2023,208,37920,17064
28/03/2023,209,37920,17064
29/03/2023,210,37920,17064
30/03/2023,211,37920,17064
31/03/2023,212,37920,17064
01/04/2023,213,37920,17064
02/04/2023,214,37920,17064
03/04/2023,215,37392,16826.4
04/04/2023,216,37392,16826.4
05/04/2023,217,37392,16826.4
06/04/2023,218,37392,16826.4
07/04/2023,219,37392,16826.4
08/04/2023,220,37392,16826.4
09/04/2023,221,37392,16826.4
10/04/2023,222,39240,17658
11/04/2023,223,39240,17658
12/04/2023,224,39240,17658
13/04/2023,225,39240,17658
14/04/2023,226,39240,17658
15/04/2023,227,39240,17658
16/04/2023,228,39240,17658
17/04/2023,229,36360,16362
18/04/2023,230,36360,16362
19/04/2023,231,36360,16362
20/04/2023,232,36360,16362
21/04/2023,233,36360,16362
22/04/2023,234,36360,16362
23/04/2023,235,36360,16362
24/04/2023,236,38328,17247.6
25/04/2023,237,38328,17247.6
26/04/2023,238,38328,17247.6
27/04/2023,239,38328,17247.6
28/04/2023,240,38328,17247.6
29/04/2023,241,38328,17247.6
30/04/2023,242,38328,17247.6
01/05/2023,243,38232,17204.4
02/05/2023,244,38232,17204.4
03/05/2023,245,38232,17204.4
04/05/2023,246,38232,17204.4
05/05/2023,247,38232,17204.4
06/05/2023,248,38232,17204.4
07/05/2023,249,38232,17204.4
08/05/2023,250,37128,16707.6
09/05/2023,251,37128,16707.6
10/05/2023,252,37128,16707.6
11/05/2023,253,37128,16707.6
12/05/2023,254,37128,16707.6
13/05/2023,255,37128,16707.6
14/05/2023,256,37128,16707.6
