time,Maize,Wholecrop,Chicken Litter,Lactose,Apple Pomace,Rice bran,Crimped Wheat,Grass,Corn Gluten/Rapemeal,Potatoes,FYM,Fodder Beet,q_ad,T
1,0.305324269,0.154304484,0.117103353,0.231456726,0.030555343,0.082117485,0,0,0,0.079138339,0,0,130.91,316.2
2,0.245976727,0.105595444,0.098167863,0.185070562,0.076504085,0.100272345,0,0,0,0.188412974,0,0,161.56,316.15
3,0.328019026,0.156962917,0.130362019,0,0.099973575,0.100590152,0,0,0,0.18409231,0,0,113.53,316
4,0.360465116,0.155315615,0.144518272,0,0.093576966,0.106035437,0,0,0,0.140088594,0,0,108.36,316
5,0.26112016,0.11345696,0.100238065,0.166771081,0.076870066,0.094537025,0,0,0,0.187006641,0,0,159.62,315.8
6,0.201134931,0.091998166,0.086323513,0.332798349,0.068840995,0.07623524,0,0,0,0.142668807,0,0,174.46,315.55
7,0.249404131,0.119438559,0.099708686,0.173596398,0.082494703,0.074020127,0,0,0,0.201337394,0,0,151.04,315.65
8,0.246629076,0.110137289,0.098430988,0.185216965,0.076979652,0.097389066,0,0,0,0.185216965,0,0,163.16,315.45
9,0.283464044,0.116775223,0.105410076,0.175461917,0.082413931,0.101887545,0,0,0,0.134587266,0,0,150.46,315.3
10,0.381248578,0.137298035,0.110217705,0,0.086702571,0.090798756,0,0,0,0.193734355,0,0,131.83,315.45
11,0.391207473,0.222384095,0.127945839,0,0.140629017,0.117833576,0,0,0,0,0,0,116.69,315.55
12,0.324566455,0.158507711,0.097203558,0.188007935,0.134510783,0.097203558,0,0,0,0,0,0,156.27,315.9
13,0.32037063,0.128667696,0.110065983,0.205250597,0.088796855,0.106486031,0,0.040362207,0,0,0,0,142.46,315.65
14,0.282601128,0.132005848,0.107289563,0.208313027,0.089396366,0.108960524,0,0.035159786,0,0.036273759,0,0,143.63,315.7
15,0.263116731,0.117447696,0.101414326,0.169458385,0.078341915,0.097568924,0,0.136609529,0,0.036042495,0,0,153.43,315.7
16,0.241258952,0.11572486,0.125473912,0.177890113,0.09761088,0.089125594,0,0.121682614,0,0.031233075,0,0,166.17,315.6
17,0.247345106,0.09672917,0.11754354,0.182292615,0.099763335,0.097214637,0,0.128952,0,0.030159597,0,0,164.79,315.5
18,0.295002211,0.140350877,0.156936459,0,0.118089341,0.116320212,0,0.148901666,0,0.024399233,0,0,135.66,315.4
19,0.27823611,0.121997518,0.161641235,0,0.132510769,0.108636928,0,0.19697744,0,0,0,0,136.97,315.7
20,0.296219728,0.142277023,0.158520378,0,0.121086828,0.124113999,0,0.157782044,0,0,0,0,135.44,314
21,0.232724086,0.118615423,0.127628943,0.184276415,0.10409364,0.097583876,0,0.135077616,0,0,0,0,159.76,314.7
22,0.250809575,0.125214299,0.115626389,0.190869262,0.105022541,0.081401994,0,0.13105594,0,0,0,0,157.49,314.65
23,0.227389774,0.091229177,0.121656419,0.315518419,0.074149982,0.038257397,0,0.104839981,0,0.026958852,0,0,190.29,315.15
24,0.253409233,0.121105968,0.186225447,0.16064056,0.109220568,0.007506568,0,0.129238083,0,0.032653572,0,0,159.86,315.15
25,0.324262694,0.144344786,0.228716935,0,0.124961995,0,0,0.141760413,0,0.035953177,0,0,131.56,315.1
26,0.209828711,0.103690865,0.15752447,0.306484502,0.085950245,0,0,0.109043638,0,0.027477569,0,0,196.16,315.25
27,0.185301916,0.118114963,0.172845065,0.300665366,0.094351894,0,0,0.100405223,0,0.028315574,0,0,199.89,315.15
28,0.272275117,0.138198096,0.212945858,0.207474776,0.122353276,0,0,0.021244849,0,0.025508029,0,0,140.74,315
29,0.227557527,0.120598836,0.167064042,0.336013307,0.136955919,0,0,0,0,0.011810369,0,0,180.35,315.5
30,0.238343813,0.127298612,0.1799739,0.311662119,0.142721557,0,0,0,0,0,0,0,168.58,315.25
31,0.347476287,0.181233062,0.258384146,0,0.212906504,0,0,0,0,0,0,0,118.08,315.2
32,0.340596428,0.192685636,0.253353841,0,0.213364095,0,0,0,0,0,0,0,117.03,315.25
33,0.194770246,0.107387662,0.152576796,0.415333841,0.129931455,0,0,0,0,0,0,0,196.95,315.3
34,0.272824133,0.143903576,0.208497037,0.20257042,0.172204835,0,0,0,0,0,0,0,150.17,315.2
35,0.194851392,0.113456588,0.139761292,0.402901942,0.149028785,0,0,0,0,0,0,0,213.65,315.35
36,0.188828679,0.110045852,0.14413413,0.398314112,0.158677227,0,0,0,0,0,0,0,215.91,315.35
37,0.2008756,0.107354106,0.141726049,0.397838946,0.1522053,0,0,0,0,0,0,0,214.71,315.3
38,0.319430072,0.184112075,0.239751652,0,0.256706201,0,0,0,0,0,0,0,125.63,315.35
39,0.320006371,0.183657216,0.242433896,0,0.253902517,0,0,0,0,0,0,0,125.56,315.25
40,0.180427579,0.114248105,0.161045799,0.400072625,0.144205892,0,0,0,0,0,0,0,220.31,315.3
41,0.216240538,0.112752104,0.184955799,0.314753057,0.171298502,0,0,0,0,0,0,0,188.91,315.35
42,0.189417939,0.104638517,0.141188709,0.412785474,0.15196936,0,0,0,0,0,0,0,211.49,315.3
43,0.185054386,0.15397655,0.12070914,0.412063851,0.128196073,0,0,0,0,0,0,0,141.58,315.35
44,0.195321978,0.108264182,0.116416752,0.415392828,0.152763624,0,0,0,0,0.011840637,0,0,206.07,315.25
45,0.340107544,0.173098213,0.238810691,0,0.205677685,0,0,0,0,0.042305867,0,0,126.46,315.2
46,0.324577414,0.174430601,0.242203,0,0.219030236,0,0,0,0,0.039758749,0,0,126.01,315.2
47,0.182518694,0.099124567,0.138975014,0.410359292,0.145951122,0,0,0,0,0.023071311,0,0,219.32,314.95
48,0.271972689,0.144320236,0.11941897,0.199745632,0.217417498,0.013454716,0,0,0,0.033670259,0,0,149.39,315.05
49,0.2087712,0.11263136,0.157996046,0.312974716,0.168504838,0.011705338,0,0,0,0.027416502,0,0,192.22,314.9
50,0.197431151,0.120421785,0.145212855,0.317684671,0.180212014,0.012507712,0,0,0,0.026529811,0,0,178.29,314.8
51,0.182744016,0.105172988,0.145100652,0.391852663,0.141341075,0.010184172,0,0,0,0.023604435,0,0,210.13,314.95
52,0.300116805,0.159658344,0.221346182,0,0.234924807,0.037231713,0,0,0,0.046722149,0,0,136.98,314.85
53,0.300273117,0.172688256,0.240967616,0,0.215996879,0.036285603,0,0,0,0.033788529,0,0,128.15,314.9
54,0.208948145,0.116726391,0.159517285,0.314713322,0.170267707,0.01248946,0,0,0,0.01733769,0,0,189.76,314.8
