time,D,SCODin,OLR,pH,SCODout,VFAout,Biogas
0.00E+00,3.33E-01,6.01E+00,2.00E+00,7.80E+00,5.800000191,13.97017384,0.430220127
1.00E+00,3.33E-01,6.00E+00,2.00E+00,7.81E+00,6.265162945,11.15840816,0.388395846
2.00E+00,3.33E-01,6.01E+00,2.00E+00,7.81E+00,6.491273403,9.125,0.35782662
3.00E+00,3.33E-01,6.01E+00,2.00E+00,7.82E+00,6.512016296,7.788180828,0.338214993
4.00E+00,3.33E-01,5.93E+00,1.98E+00,7.82E+00,6.361075878,7.066183567,0.329263538
5.00E+00,3.33E-01,5.93E+00,1.98E+00,7.83E+00,6.072136879,6.877240658,0.330674827
6.00E+00,3.33E-01,6.01E+00,2.00E+00,7.83E+00,5.678883553,7.139585018,0.33931753
7.00E+00,3.33E-01,6.00E+00,2.00E+00,7.84E+00,5.215000153,7.771448612,0.340724587
8.00E+00,3.33E-01,6.01E+00,2.00E+00,7.84E+00,4.714170933,8.691064835,0.325064003
9.00E+00,3.33E-01,6.01E+00,2.00E+00,7.85E+00,4.2100811,9.816666603,0.31237933
1.00E+01,3.33E-01,5.93E+00,1.98E+00,7.85E+00,3.736413956,11.0664854,0.321049362
1.10E+01,3.33E-01,5.93E+00,1.98E+00,7.86E+00,3.326854706,12.35875511,0.332918346
1.20E+01,3.33E-01,6.01E+00,2.00E+00,7.86E+00,3.015087366,13.61170769,0.320696771
1.30E+01,3.33E-01,6.00E+00,2.00E+00,7.86E+00,2.834796667,14.7435751,0.282380253
1.40E+01,3.33E-01,6.00E+00,2.00E+00,7.87E+00,2.819666624,15.67259121,0.317104518
1.50E+01,3.33E-01,1.45E+01,4.83E+00,7.87E+00,2.989751816,16.31698799,0.497627795
1.60E+01,3.33E-01,1.45E+01,4.83E+00,7.88E+00,3.310586929,16.59499931,0.690058231
1.70E+01,3.33E-01,1.45E+01,4.83E+00,7.88E+00,3.734076262,16.4570179,0.752131581
1.80E+01,3.33E-01,1.45E+01,4.83E+00,7.89E+00,4.212124348,15.98207951,0.714744329
1.90E+01,3.33E-01,1.45E+01,4.83E+00,7.89E+00,4.696635723,15.28138447,0.652083337
2.00E+01,3.33E-01,1.45E+01,4.83E+00,7.89E+00,5.139514923,14.46613026,0.624975145
2.10E+01,3.33E-01,1.45E+01,4.83E+00,7.90E+00,5.492666721,13.64751625,0.640806019
2.20E+01,3.33E-01,1.45E+01,4.83E+00,7.90E+00,5.720256805,12.93673992,0.688578665
