Day,Maize,Wholecrop,Chicken Litter,Lactose,Apple Pomace,Rice bran,Total_Biogas
1,39.97,20.2,15.33,30.3,4,10.75,35111.586
2,39.74,17.06,15.86,29.9,12.36,16.2,34120.477
3,37.24,17.82,14.8,0,11.35,11.42,35161.77
4,39.06,16.83,15.66,0,10.14,11.49,35236.363
5,41.68,18.11,16,26.62,12.27,15.09,34243.105
6,35.09,16.05,15.06,58.06,12.01,13.3,34727.293
7,37.67,18.04,15.06,26.22,12.46,11.18,35106.562
8,40.24,17.97,16.06,30.22,12.56,15.89,34154.406
9,42.65,17.57,15.86,26.4,12.4,15.33,34171.7
10,50.26,18.1,14.53,0,11.43,11.97,34740.516
11,45.65,25.95,14.93,0,16.41,13.75,34186.555
12,50.72,24.77,15.19,29.38,21.02,15.19,33887.062
13,45.64,18.33,15.68,29.24,12.65,15.17,34096.875
14,40.59,18.96,15.41,29.92,12.84,15.65,34077.844
15,40.37,18.02,15.56,26,12.02,14.97,34250.848
16,40.09,19.23,20.85,29.56,16.22,14.81,35040.863
17,40.76,15.94,19.37,30.04,16.44,16.02,34628.312
18,40.02,19.04,21.29,0,16.02,15.78,34975.477
19,38.11,16.71,22.14,0,18.15,14.88,35533.35
20,40.12,19.27,21.47,0,16.4,16.81,34770.727
21,37.18,18.95,20.39,29.44,16.63,15.59,34915.46
22,39.5,19.72,18.21,30.06,16.54,12.82,35063.203
23,43.27,17.36,23.15,60.04,14.11,7.28,37653.92
24,40.51,19.36,29.77,25.68,17.46,1.2,37899.164
25,42.66,18.99,30.09,0,16.44,0,37581.67
26,41.16,20.34,30.9,60.12,16.86,0,37601.934
27,37.04,23.61,34.55,60.1,18.86,0,37169.586
28,38.32,19.45,29.97,29.2,17.22,0,37523.508
29,41.04,21.75,30.13,60.6,24.7,0,37874.062
30,40.18,21.46,30.34,52.54,24.06,0,37760.496
31,41.03,21.4,30.51,0,25.14,0,37737.945
32,39.86,22.55,29.65,0,24.97,0,37830.8
33,38.36,21.15,30.05,81.8,25.59,0,37755.797
34,40.97,21.61,31.31,30.42,25.86,0,37689.5
35,41.63,24.24,29.86,86.08,31.84,0,38229.19
36,40.77,23.76,31.12,86,34.26,0,38052.883
37,43.13,23.05,30.43,85.42,32.68,0,38253.156
38,40.13,23.13,30.12,0,32.25,0,37983.383
39,40.18,23.06,30.44,0,31.88,0,37929.523
40,39.75,25.17,35.48,88.14,31.77,0,37446.035
41,40.85,21.3,34.94,59.46,32.36,0,37383.387
